T_ms,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
0.33,0.030276790463755487,0.01596649482939544,-0.0019005988348328607,,,0.0,0.009218289085545723,-0.03687315634218289,-0.01168837242724173,-0.02242223539897594,0.018436578171091445,-0.009218289085545723
0.332,0.027779540838531822,0.018463679398978385,0.0,,,0.0007691768813356509,0.009218289085545723,-0.03687315634218289,-0.009218289085545723,-0.019924401483254958,0.018463679398978385,-0.009218289085545723
0.334,0.02765486725663717,0.02096086396856133,0.0,,,0.003266043373055994,0.009218289085545723,-0.03687315634218289,-0.009218289085545723,-0.018436578171091445,0.02096086396856133,-0.009218289085545723
0.336,0.02765486725663717,0.02345804853814428,0.0,,,0.005762909864776338,0.009218289085545723,-0.03687315634218289,-0.009218289085545723,-0.018436578171091445,0.02345804853814428,-0.009218289085545723
0.338,0.02765486725663717,0.02595523310772721,0.0,,,0.008259776356496681,0.009218289085545723,-0.03687315634218289,-0.009218289085545723,-0.018436578171091445,0.02595523310772721,-0.009218289085545723
0.34,0.028300903090091416,0.02765486725663717,0.0,,,0.009218289085545723,0.010813389926891705,-0.03527805550083691,-0.008420738664872732,-0.018436578171091445,0.02845241767731016,-0.010015839506218713
0.342,0.03079815271531508,0.02765486725663717,0.0,,,0.009218289085545723,0.0158077590660576,-0.030283686361671013,-0.005923554095289784,-0.020219635351987147,0.030949602246893106,-0.012513024075801661
0.344,0.033295402340538745,0.02765486725663717,0.0,,,0.009218289085545723,0.020802128205223494,-0.025289317222505117,-0.0034263695257068364,-0.02271746926770813,0.03344678681647605,-0.01501020864538461
0.346,0.035792651965762375,0.02765486725663717,0.0,,,0.009218289085545723,0.02579649734438939,-0.020294948083339225,-0.0009291849561238889,-0.025215303183429114,0.035943971386059,-0.017507393214967557
0.348,0.03687315634218289,0.026086867643178108,-0.002135288164640195,,,0.006910758441538768,0.02765486725663717,-0.0043245816499599184,0.007839998067295293,-0.02759659741412424,0.04000915556910101,-0.021572577398009562
0.35,0.03687315634218289,0.02358968307359518,-0.0046322287391473765,,,0.004413891949818427,0.02765486725663717,0.01815007947628646,0.020325920915209947,-0.025098763498403252,0.04500352470826687,-0.026566946537175423
0.352,0.03687315634218289,0.02109249850401223,-0.0071291693136545245,,,0.001917025458098082,0.02765486725663717,0.04062474060253299,0.03281184376312469,-0.02260092958268227,0.049997893847432764,-0.03156131567634132
0.354,0.03687315634218289,0.018595313934429283,-0.009626109888161706,-0.018436578171091445,0.03687315634218289,-0.000579841033622263,0.02765486725663717,0.06309940172877952,0.045297766611039424,-0.020103095666961286,0.05499226298659866,-0.036555684815507215
0.356,0.03687315634218289,0.01609812936484635,-0.012123050462668887,-0.015939461963163683,0.03687315634218289,-0.0030767075253426038,0.025316418450392075,0.09726630688625136,0.07415283110266974,-0.013448679651984584,0.08570956899446054,-0.0321962587296927
0.358,0.03687315634218289,0.013600944795263404,-0.014619991037176035,-0.013442345755235924,0.03687315634218289,-0.005573574017062944,0.02281923388080913,0.13222689086041262,0.1041190459376651,0.0015383238423414165,0.11817296839903886,-0.027201889590526808
0.36,0.03687315634218289,0.011103760225680458,-0.017116931611683216,-0.010945229547308165,0.03687315634218289,-0.008070440508783293,0.02032204931122618,0.16718747483457388,0.13408526077266048,0.01652532733666732,0.1506363678036172,-0.022207520451360915
0.362,0.03595132743362824,0.007994862226649297,-0.018436578171091445,-0.007677937593215085,0.03610298059601757,-0.010567307000503635,0.015378011023850379,0.20520662595597622,0.16588661589600048,0.031512330830993224,0.18799347464378122,-0.008649163299920033
0.364,0.030956828183180976,0.003000493087483401,-0.018436578171091445,-0.0026837051773595626,0.03360586438808981,-0.013064173492223975,0.002892088175935641,0.25265313277805224,0.2033443844397447,0.05933423830283411,0.2404343506050231,0.03130578981340713
0.366,0.025962328932733713,-0.001993876051682494,-0.018436578171091445,0.002310527238495955,0.03110874818016205,-0.015561039983944324,-0.009593834671979096,0.3000996396001282,0.24080215298348892,0.09430391312292788,0.292875226566265,0.07126074292673429
0.368,0.020967829682286318,-0.006988245190848389,-0.018436578171091445,0.007304759654351477,0.028611631972234288,-0.018057906475664666,-0.022079757519893835,0.3475461464222042,0.2782599215272331,0.12927358794302166,0.3453161025275069,0.11121569604006144
0.37,0.01720495430146525,-0.010600451707780003,-0.018436578171091445,0.009218289085545723,0.02611451576430653,-0.018436578171091445,-0.042858656101214254,0.36734940079959466,0.3018960638486345,0.16424326276311543,0.3908461653775774,0.15531713702009145
0.372,0.014707704676241553,-0.013097636277362951,-0.018436578171091445,0.009218289085545723,0.02361739955637877,-0.018436578171091445,-0.07032768636662667,0.3648522162300117,0.31438198669654926,0.21347739503037505,0.4308011184909046,0.20276364384216744
0.374,0.01221045505101792,-0.015594820846945898,-0.018436578171091445,0.009218289085545723,0.021120283348451008,-0.018436578171091445,-0.09779671663203911,0.3623550316604287,0.32686790954446404,0.2634340733447944,0.4707560716042317,0.25021015066424346
0.376,0.009713205425794288,-0.018092005416528813,-0.018436578171091445,0.009218289085545723,0.01862316714052325,-0.018827083357000313,-0.12526574689745115,0.3598578470908458,0.3393538323923786,0.3133907516592144,0.5107110247175584,0.2976566574863188
0.378,0.00721595580057059,-0.02058918998611176,-0.018436578171091445,0.013839343562537633,0.018436578171091445,-0.021323949848720655,-0.14412432990278232,0.303545367145755,0.3066349071248667,0.35812645208447524,0.5054611297154589,0.33218749341827297
0.38,0.004718706175346959,-0.02308637455569471,-0.018436578171091445,0.01883357597839316,0.018436578171091445,-0.023820816340441003,-0.16160462188986296,0.23861856833659834,0.26667995401153954,0.38810045907312724,0.4929752068675442,0.36465089282285124
0.382,0.0022214565501232613,-0.025583559125277655,-0.018436578171091445,0.023827808394248678,0.018436578171091445,-0.026317682832161345,-0.17908491387694359,0.1736917695274417,0.22672500089821238,0.4180744660617792,0.4804892840196294,0.39711429222742956
0.384,-0.0002757930751003706,-0.02850662013308404,-0.019425351249132063,0.02823845403337068,0.018436578171091445,-0.028814549323881694,-0.19443582367290704,0.11174610578584912,0.1854924184702149,0.44804847305043083,0.4603375852836929,0.4206342864293158
0.386,-0.0027730427003240027,-0.03350098927224993,-0.02192229182363921,0.030735570241298443,0.018436578171091445,-0.03131141581560203,-0.19943019281207294,0.06429959896377312,0.1380459116481389,0.43097540919414185,0.402902340183285,0.4006568098726522
